
  Composition: O48Si24 (72 atoms)
  Initial cell: a=9.8601  b=9.8601  c=9.8601
  Volume: 958.63 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -589.114014     1.087989    9.859082    9.860453    9.860668    958.6050
      2     -589.466492     0.838645    9.857949    9.860472    9.861345    958.5625
      3     -589.845825     0.845642    9.855272    9.860549    9.863043    958.4745
      4     -590.026245     0.599140    9.852973    9.860692    9.864665    958.4223
      5     -590.169922     0.469383    9.849979    9.860986    9.866984    958.3845
      6     -590.254517     0.391985    9.847525    9.861317    9.869086    958.3817
      7     -590.351624     0.441330    9.843919    9.861859    9.872369    958.4014
      8     -590.434814     0.439081    9.839676    9.862498    9.876345    958.4350
      9     -590.504028     0.419186    9.835226    9.863116    9.880566    958.4694
     10     -590.560730     0.374752    9.830861    9.863639    9.884727    958.4964
     11     -590.610046     0.374074    9.826448    9.864071    9.888894    958.5097
     12     -590.660706     0.367318    9.820896    9.864551    9.894074    958.5132
     13     -590.719543     0.355474    9.813636    9.865156    9.900824    958.5114
     14     -590.785645     0.341378    9.804390    9.865951    9.909440    958.5104
     15     -590.850769     0.351144    9.794276    9.866890    9.918913    958.5170
     16     -590.918213     0.329076    9.783429    9.867977    9.929151    958.5348
     17     -590.983276     0.376701    9.771595    9.869239    9.940365    958.5604
     18     -591.049744     0.445728    9.760167    9.870515    9.951193    958.5853
     19     -591.120911     0.377993    9.746749    9.872032    9.963822    958.6014
     20     -591.182617     0.342066    9.734590    9.873395    9.975120    958.5948
     21     -591.241150     0.357906    9.723409    9.874623    9.985320    958.5633
     22     -591.302612     0.337778    9.710697    9.876008    9.996773    958.5069
     23     -591.367859     0.412697    9.695597    9.877673   10.010334    958.4300
     24     -591.440796     0.447155    9.675829    9.879936   10.028204    958.3354
     25     -591.510315     0.389947    9.656657    9.882261   10.045632    958.2510
     26     -591.577026     0.336016    9.637510    9.884759   10.063153    958.1802
     27     -591.634888     0.340014    9.621029    9.887084   10.078356    958.1360
     28     -591.691772     0.293213    9.606611    9.889281   10.091774    958.1156
     29     -591.749634     0.337777    9.591231    9.891718   10.106178    958.1025
     30     -591.802368     0.373236    9.577914    9.893901   10.118705    958.0963
     31     -591.856689     0.351200    9.561235    9.896578   10.134435    958.0771
     32     -591.904846     0.320534    9.546697    9.898977   10.148183    958.0619
     33     -591.955627     0.343050    9.527260    9.902137   10.166689    958.0357
     34     -591.996704     0.315454    9.510389    9.904950   10.182974    958.0288
     35     -592.036377     0.314520    9.492802    9.907990   10.200232    958.0466
     36     -592.072021     0.307156    9.478544    9.910712   10.214647    958.1177
     37     -592.103760     0.234062    9.465692    9.913295   10.227978    958.2195
     38     -592.136169     0.283588    9.454395    9.915913   10.240296    958.3949
     39     -592.166870     0.240896    9.442107    9.918697   10.253748    958.5786
     40     -592.200806     0.291789    9.432431    9.921447   10.265275    958.8636
     41     -592.231262     0.263057    9.420713    9.924224   10.278568    959.0859
     42     -592.261597     0.268586    9.412889    9.926463   10.288257    959.3479
     43     -592.284058     0.221957    9.403452    9.928651   10.299156    959.5349
     44     -592.306396     0.190357    9.394127    9.930932   10.310322    959.7665
     45     -592.327881     0.203954    9.383803    9.933461   10.322876    960.0381
     46     -592.347900     0.208807    9.374551    9.935711   10.334331    960.2964
     47     -592.366943     0.174078    9.364888    9.938065   10.346463    960.5797
     48     -592.382568     0.156188    9.357937    9.939784   10.355536    960.8170
     49     -592.399292     0.174970    9.351543    9.941486   10.364475    961.1025
     50     -592.417114     0.165381    9.346477    9.943025   10.372482    961.4352
     51     -592.434021     0.164178    9.341213    9.944600   10.380896    961.7852
     52     -592.448608     0.172031    9.338844    9.945557   10.386136    962.1062
     53     -592.461487     0.157164    9.336341    9.946556   10.391495    962.4267
     54     -592.474182     0.168243    9.332646    9.947785   10.398226    962.7615
     55     -592.486816     0.186403    9.327413    9.949226   10.406449    963.0798
     56     -592.499512     0.169776    9.321803    9.950884   10.415806    963.4835
     57     -592.509827     0.137995    9.316341    9.952460   10.424772    963.8578
     58     -592.519714     0.135521    9.313982    9.953300   10.429989    964.1646
     59     -592.528259     0.128397    9.311140    9.954215   10.435654    964.4643
     60     -592.534912     0.129027    9.310146    9.954566   10.438560    964.6612
     61     -592.541016     0.124723    9.308372    9.955075   10.442161    964.8482
     62     -592.546753     0.106848    9.306671    9.955666   10.446235    965.0974
     63     -592.552673     0.114192    9.303086    9.956588   10.451932    965.3116
     64     -592.559509     0.120058    9.297738    9.957980   10.460340    965.6230
     65     -592.564575     0.102058    9.293470    9.959148   10.466889    965.8606
     66     -592.570435     0.097337    9.291871    9.959880   10.470969    966.1355
  -------------------------------------------------------------------------------------

  Converged after 66 steps!  Fmax = 0.097337 eV/A
