    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000    2077.5     -221.5539        6.4449     -215.1090      331.56
     100      0.2000    2170.6     -214.7446        6.7337     -208.0109      331.56
     200      0.4000    1748.3     -215.8460        5.4237     -210.4222      331.56
     300      0.6000    3013.1     -213.9150        9.3473     -204.5678      331.56
     400      0.8000    1758.6     -214.4727        5.4557     -209.0170      331.56
     500      1.0000    2045.6     -212.6271        6.3459     -206.2812      331.56
     600      1.2000    1889.5     -214.5396        5.8618     -208.6778      331.56
     700      1.4000    1993.0     -214.2121        6.1829     -208.0292      331.56
     800      1.6000    2205.2     -216.0163        6.8412     -209.1751      331.56
     900      1.8000    1728.1     -213.3410        5.3609     -207.9800      331.56
    1000      2.0000    1779.1     -212.6374        5.5191     -207.1183      331.56
    1100      2.2000    1765.3     -214.6678        5.4764     -209.1914      331.56
    1200      2.4000    1900.3     -214.2226        5.8952     -208.3273      331.56
    1300      2.6000    2359.1     -214.2841        7.3185     -206.9655      331.56
    1400      2.8000    1901.9     -214.4562        5.9003     -208.5559      331.56
    1500      3.0000    1988.6     -213.9253        6.1690     -207.7563      331.56
    1600      3.2000    2055.1     -213.7518        6.3756     -207.3763      331.56
    1700      3.4000    2015.7     -213.7256        6.2533     -207.4723      331.56
    1800      3.6000    2026.5     -214.6003        6.2868     -208.3136      331.56
    1900      3.8000    2374.1     -212.3916        7.3650     -205.0266      331.56
    2000      4.0000    1879.5     -214.2890        5.8307     -208.4583      331.56
    2100      4.2000    1758.3     -214.5579        5.4548     -209.1031      331.56
    2200      4.4000    2439.7     -214.8416        7.5686     -207.2730      331.56
    2300      4.6000    2004.5     -212.7797        6.2185     -206.5612      331.56
    2400      4.8000    1598.7     -214.8340        4.9597     -209.8744      331.56
    2500      5.0000    2321.6     -214.9785        7.2023     -207.7763      331.56
    2600      5.2000    2133.6     -213.1724        6.6188     -206.5536      331.56
    2700      5.4000    2934.6     -215.6786        9.1038     -206.5749      331.56
    2800      5.6000    2204.9     -213.9332        6.8402     -207.0930      331.56
    2900      5.8000    2053.6     -214.3247        6.3707     -207.9540      331.56
    3000      6.0000    2217.3     -214.8002        6.8787     -207.9214      331.56
    3100      6.2000    2082.1     -216.7203        6.4590     -210.2613      331.56
    3200      6.4000    2087.3     -215.2020        6.4752     -208.7268      331.56
    3300      6.6000    2272.9     -214.9121        7.0511     -207.8610      331.56
    3400      6.8000    2472.1     -216.3013        7.6690     -208.6324      331.56
    3500      7.0000    2383.3     -215.4546        7.3936     -208.0610      331.56
    3600      7.2000    2233.3     -215.0352        6.9282     -208.1070      331.56
    3700      7.4000    2333.1     -213.6610        7.2379     -206.4231      331.56
    3800      7.6000    2083.1     -213.6279        6.4623     -207.1657      331.56
    3900      7.8000    2367.2     -212.5482        7.3438     -205.2045      331.56
    4000      8.0000    1851.0     -214.3607        5.7424     -208.6183      331.56
