
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=100

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -221.023560     1.285160    6.921864    6.921380    6.921694    331.6104
      2     -221.344452     1.178960    6.922921    6.921284    6.922911    331.7146
      3     -221.487915     0.921402    6.924091    6.921137    6.924566    331.8427
      4     -221.622101     0.674478    6.926246    6.921006    6.927978    332.1024
      5     -221.676422     0.472349    6.927762    6.921147    6.930739    332.3135
      6     -221.722366     0.367245    6.929963    6.921644    6.934865    332.6397
      7     -221.748322     0.401948    6.932158    6.922316    6.938871    332.9682
      8     -221.777435     0.346433    6.935805    6.923485    6.945395    333.5104
      9     -221.801117     0.356259    6.940252    6.924884    6.953346    334.1703
     10     -221.823334     0.349607    6.944917    6.926280    6.961833    334.8662
     11     -221.853745     0.413698    6.952407    6.928336    6.975784    335.9906
     12     -221.878967     0.385156    6.959215    6.929946    6.988987    337.0252
     13     -221.907104     0.351560    6.967338    6.931524    7.005547    338.2812
     14     -221.934494     0.371939    6.975515    6.932766    7.023129    339.5714
     15     -221.972687     0.413760    6.986896    6.933972    7.049029    341.4076
     16     -222.010437     0.397473    6.997012    6.934379    7.073787    343.0867
     17     -222.052765     0.468479    7.008586    6.934035    7.103882    345.0470
     18     -222.085266     0.402370    7.015830    6.932983    7.124476    346.3114
     19     -222.117096     0.389652    7.020810    6.931254    7.140796    347.2293
     20     -222.144745     0.419523    7.025575    6.929195    7.157119    348.1184
     21     -222.177765     0.372437    7.034115    6.926818    7.183623    349.6468
     22     -222.214828     0.488512    7.046388    6.923659    7.221419    351.8351
     23     -222.252686     0.472762    7.056079    6.919761    7.254544    353.6344
     24     -222.286346     0.439128    7.067373    6.916005    7.291318    355.6781
     25     -222.310242     0.383384    7.071570    6.913052    7.307868    356.4843
     26     -222.334442     0.431397    7.075444    6.909021    7.324944    357.2389
     27     -222.356506     0.334897    7.078346    6.904529    7.339262    357.7934
     28     -222.378448     0.289169    7.083575    6.898961    7.359818    358.6831
     29     -222.399490     0.250798    7.086855    6.893481    7.373743    359.1773
