    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000    2083.0     -485.7659       19.3857     -466.3802      973.43
     100      0.1000    2859.2     -541.5232       26.6096     -514.9135      981.73
     200      0.2000    2070.2     -553.8075       19.2669     -534.5406      980.53
     300      0.3000    2060.0     -563.1672       19.1715     -543.9957      990.25
     400      0.4000    2183.3     -569.3965       20.3192     -549.0773      991.01
     500      0.5000    2237.0     -569.8024       20.8187     -548.9837      992.61
     600      0.6000    2162.6     -568.4296       20.1266     -548.3029      989.82
     700      0.7000    1944.1     -566.4517       18.0929     -548.3588      992.54
     800      0.8000    1891.0     -567.0476       17.5986     -549.4490      991.56
     900      0.9000    1974.4     -568.5967       18.3751     -550.2216      992.59
    1000      1.0000    1984.4     -568.0543       18.4682     -549.5861      997.30
