
  Composition: O48Si24 (72 atoms)
  Initial cell: a=9.9268  b=9.9268  c=9.9268
  Volume: 978.19 A^3  Density: 2.45 g/cm3
  Optimizer: LBFGS  fmax=0.1  max_steps=100
  Cell filter: FrechetCellFilter

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -587.029053     1.184002    9.926187    9.927064    9.927205    978.2058
      2     -587.333252     0.728129    9.925445    9.927221    9.927584    978.1855
      3     -587.613770     0.660295    9.923861    9.927431    9.928330    978.1235
      4     -587.799194     0.680457    9.921907    9.927556    9.929166    978.0256
      5     -587.950562     0.460136    9.919321    9.927573    9.930180    977.8720
      6     -588.051880     0.417745    9.916863    9.927444    9.931033    977.7009
      7     -588.136658     0.441895    9.913914    9.927186    9.931980    977.4777
      8     -588.210632     0.417672    9.910353    9.926838    9.933095    977.2017
      9     -588.279419     0.354457    9.906236    9.926411    9.934389    976.8804
     10     -588.344604     0.367193    9.901674    9.925938    9.935886    976.5305
     11     -588.403076     0.405309    9.896458    9.925425    9.937699    976.1427
     12     -588.454712     0.406705    9.889823    9.924775    9.940109    975.6594
     13     -588.497559     0.303230    9.887920    9.924540    9.940941    975.5296
     14     -588.546448     0.264521    9.884485    9.924115    9.942474    975.2982
     15     -588.575378     0.280580    9.881208    9.923711    9.943889    975.0729
     16     -588.617615     0.406595    9.874324    9.922874    9.946809    974.5948
     17     -588.648926     0.375875    9.869033    9.922191    9.949109    974.2283
     18     -588.685364     0.331222    9.860799    9.921125    9.952636    973.6516
     19     -588.713928     0.236751    9.854721    9.920270    9.955327    973.2272
     20     -588.743164     0.291966    9.845725    9.919055    9.959245    972.5963
     21     -588.770386     0.267304    9.838454    9.917941    9.962631    972.0936
     22     -588.795105     0.264992    9.830013    9.916653    9.966591    971.5121
     23     -588.819580     0.283280    9.823285    9.915494    9.969986    971.0577
     24     -588.849121     0.262572    9.814776    9.913954    9.974449    970.4907
     25     -588.874695     0.282901    9.806688    9.912436    9.978834    969.9584
     26     -588.897827     0.291764    9.799572    9.911018    9.982859    969.4968
     27     -588.921509     0.285262    9.793051    9.909584    9.986788    969.0827
     28     -588.950745     0.308525    9.783922    9.907543    9.992355    968.5041
     29     -588.981018     0.261156    9.772207    9.904993    9.999405    967.7566
     30     -589.011047     0.230411    9.758539    9.901938   10.007783    966.8868
     31     -589.034241     0.190099    9.747393    9.899362   10.014752    966.1786
     32     -589.056824     0.263021    9.739199    9.897228   10.020220    965.6649
     33     -589.080994     0.262105    9.730470    9.894815   10.026204    965.1170
     34     -589.102661     0.251132    9.724008    9.892780   10.030952    964.7154
     35     -589.125122     0.197558    9.715284    9.890165   10.037136    964.1631
     36     -589.145508     0.219116    9.707259    9.887531   10.043120    963.6581
     37     -589.164551     0.246762    9.698247    9.884737   10.049604    963.0828
     38     -589.185059     0.221194    9.690370    9.881975   10.055700    962.5863
     39     -589.203308     0.227648    9.679416    9.878543   10.063665    961.8854
     40     -589.219360     0.230010    9.677204    9.877105   10.066291    961.7647
     41     -589.236084     0.173446    9.668680    9.874370   10.072753    961.2346
     42     -589.250122     0.198895    9.667132    9.873209   10.075021    961.1744
     43     -589.263733     0.174406    9.659897    9.870883   10.080777    960.7468
     44     -589.274780     0.205217    9.656247    9.869303   10.084460    960.5624
     45     -589.284546     0.173501    9.649446    9.867043   10.090120    960.1732
     46     -589.293213     0.149540    9.644952    9.865291   10.094387    959.9380
     47     -589.300659     0.147940    9.641522    9.863858   10.097888    959.7704
     48     -589.307983     0.151313    9.637288    9.862205   10.102017    959.5564
     49     -589.314880     0.121857    9.633774    9.860694   10.105792    959.3958
     50     -589.321106     0.113731    9.630993    9.859439   10.109027    959.2845
     51     -589.327271     0.108554    9.628825    9.858365   10.111893    959.2187
     52     -589.333008     0.109406    9.625762    9.857088   10.115441    959.1036
     53     -589.338379     0.105639    9.623414    9.855888   10.118778    959.0486
     54     -589.343506     0.104326    9.620047    9.854349   10.123083    958.9437
     55     -589.347412     0.087727    9.618063    9.853316   10.126084    958.9105
  -------------------------------------------------------------------------------------

  Converged after 55 steps!  Fmax = 0.087727 eV/A
