
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=300

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -187.751434     5.369226    6.916268    6.915671    6.916736    330.8318
      2     -195.243759     6.700141    6.901177    6.902022    6.906693    328.9797
      3     -197.258606    13.004786    6.887629    6.893239    6.898133    327.5088
      4     -200.868347     5.929770    6.886906    6.894485    6.897610    327.5083
      5     -205.497009     4.001734    6.877736    6.890851    6.893227    326.6896
      6     -204.506927    27.136958    6.868750    6.887269    6.890379    325.9544
      7     -207.617920     3.551171    6.872566    6.888944    6.893524    326.3645
      8     -208.562256     3.169516    6.868046    6.886795    6.893693    326.0534
      9     -209.830994     2.154574    6.858013    6.882762    6.894910    325.4373
     10     -210.401398     4.197477    6.846011    6.878360    6.897022    324.7502
     11     -211.166992     3.277025    6.840612    6.876449    6.898600    324.4738
     12     -212.509689     3.154604    6.824475    6.869984    6.901549    323.5278
     13     -213.477081     2.239076    6.808283    6.863047    6.903164    322.4944
     14     -214.025513     1.950370    6.797121    6.858088    6.902871    321.7113
     15     -214.559998     1.599447    6.791619    6.855521    6.901558    321.2691
     16     -215.069092     2.134268    6.778701    6.850395    6.901497    320.4068
     17     -215.698761     2.435724    6.757800    6.842216    6.901881    319.0383
     18     -216.146667     2.059470    6.742403    6.836438    6.902304    318.0474
     19     -216.661713     2.380281    6.723990    6.829797    6.902298    316.8521
     20     -217.017029     1.944000    6.717836    6.827886    6.901497    316.4322
     21     -217.313293     1.276803    6.705931    6.824525    6.899908    315.6324
     22     -217.438232     0.843515    6.704677    6.825182    6.900062    315.6091
     23     -217.666779     0.836406    6.692391    6.825061    6.900841    315.0436
     24     -217.756104     0.799368    6.688535    6.827078    6.901530    314.9798
     25     -217.867493     0.784622    6.679932    6.830808    6.903164    314.8053
     26     -217.957260     0.738781    6.674737    6.835952    6.904863    314.8634
     27     -218.057098     0.637201    6.666901    6.843577    6.907317    314.9386
     28     -218.130127     0.750332    6.664047    6.849065    6.908822    315.1166
     29     -218.249313     0.656258    6.654672    6.861505    6.912127    315.3707
     30     -218.322281     0.645947    6.649734    6.870112    6.913838    315.5954
     31     -218.415375     0.637277    6.637408    6.882449    6.915805    315.6333
     32     -218.489960     0.713754    6.633003    6.887639    6.915449    315.6332
     33     -218.574951     0.730729    6.619460    6.899235    6.916008    315.5061
     34     -218.668396     0.722454    6.612639    6.905937    6.914547    315.3989
     35     -218.778168     1.084203    6.596249    6.927229    6.913765    315.4869
     36     -218.899902     0.903975    6.582566    6.945134    6.911689    315.4879
     37     -219.049210     1.113514    6.569302    6.966695    6.909790    315.6647
     38     -219.204483     1.023429    6.558370    6.983644    6.907356    315.7223
