
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3  Density: 3.20 g/cm3
  Optimizer: LBFGS  fmax=0.1  max_steps=100
  Cell filter: FrechetCellFilter

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -220.697784     1.619816    6.921150    6.922436    6.921139    331.6002
      2     -220.975769     0.705311    6.920784    6.925516    6.920548    331.7014
      3     -221.054291     0.681142    6.920563    6.928166    6.920158    331.7984
      4     -221.159882     0.590631    6.920266    6.934382    6.919247    332.0356
      5     -221.226410     0.502160    6.920281    6.939990    6.918527    332.2670
      6     -221.292694     0.500349    6.920503    6.948158    6.917693    332.6222
      7     -221.343781     0.507625    6.920726    6.956232    6.917173    332.9866
      8     -221.400787     0.473449    6.920849    6.968374    6.916708    333.5368
      9     -221.438995     0.449374    6.920669    6.978461    6.916585    333.9906
     10     -221.486267     0.531824    6.920030    6.994031    6.916457    334.6722
     11     -221.541168     0.512924    6.918793    7.014183    6.916232    335.5231
     12     -221.612411     0.640404    6.916536    7.041723    6.915755    336.6341
     13     -221.682068     0.616139    6.913560    7.070617    6.914798    337.7270
     14     -221.750305     0.715198    6.910429    7.093587    6.913314    338.5059
     15     -221.823944     0.570359    6.906434    7.118382    6.910970    339.2621
     16     -221.890137     0.577048    6.902459    7.140800    6.908358    339.8877
     17     -221.965164     0.640220    6.897699    7.168911    6.905102    340.6655
     18     -222.045349     0.664922    6.892131    7.205237    6.901395    341.6968
     19     -222.127304     0.881992    6.885907    7.247116    6.897331    342.8691
     20     -222.216797     0.970536    6.880402    7.290542    6.893763    344.1269
     21     -222.301437     0.934176    6.874965    7.338709    6.890480    345.5444
     22     -222.407013     0.705992    6.869548    7.387932    6.886700    346.9375
     23     -222.477051     0.774139    6.865248    7.437930    6.884407    348.4432
     24     -222.547028     0.659136    6.860959    7.488806    6.881979    349.9323
     25     -222.611572     0.578286    6.857132    7.540643    6.879720    351.4483
     26     -222.663513     0.554982    6.853926    7.587794    6.877813    352.8190
     27     -222.711044     0.413515    6.851034    7.634086    6.875783    354.1496
     28     -222.747284     0.362640    6.848687    7.672403    6.873856    355.2300
     29     -222.783279     0.367701    6.846541    7.711797    6.871593    356.3410
     30     -222.818451     0.476055    6.845209    7.737758    6.868572    357.0390
     31     -222.844940     0.416973    6.844573    7.753152    6.866206    357.4555
     32     -222.870987     0.294868    6.844291    7.756729    6.863202    357.4959
     33     -222.889252     0.289622    6.843341    7.768504    6.860493    357.7534
     34     -222.906586     0.316489    6.841873    7.785744    6.856985    358.1229
     35     -222.921982     0.245792    6.840367    7.801492    6.853339    358.4264
     36     -222.941132     0.301968    6.838554    7.816189    6.848724    358.6340
     37     -222.959900     0.338256    6.834839    7.856937    6.841269    359.4460
     38     -222.974274     0.253082    6.833053    7.867074    6.835487    359.4608
     39     -222.988449     0.199845    6.830342    7.886641    6.828511    359.6563
     40     -222.995667     0.163898    6.829895    7.880790    6.825714    359.3456
     41     -223.004120     0.220617    6.828690    7.883783    6.822057    359.2241
     42     -223.012604     0.206238    6.827452    7.884412    6.818011    359.0120
     43     -223.022644     0.197776    6.824799    7.898908    6.810899    359.0286
     44     -223.030655     0.173184    6.822322    7.915498    6.804462    359.1359
     45     -223.038177     0.160059    6.819881    7.935702    6.797930    359.3502
     46     -223.045288     0.170221    6.817518    7.955121    6.790519    359.5095
     47     -223.052246     0.162881    6.814777    7.977647    6.782003    359.6837
     48     -223.058105     0.162770    6.812868    7.990296    6.775283    359.6775
     49     -223.064545     0.165441    6.812023    7.986190    6.770511    359.3024
     50     -223.070282     0.155211    6.809737    7.996103    6.762802    359.1461
     51     -223.075897     0.149763    6.807633    8.001772    6.755743    358.8981
     52     -223.080551     0.147958    6.805860    8.008778    6.750043    358.7649
     53     -223.083801     0.131267    6.804859    8.012070    6.746554    358.6588
     54     -223.087143     0.134102    6.803389    8.022969    6.741613    358.6971
     55     -223.089630     0.130070    6.802509    8.030363    6.737919    358.7203
     56     -223.091980     0.109759    6.802423    8.030961    6.736023    358.6619
     57     -223.094543     0.105568    6.801755    8.037569    6.731615    358.6504
     58     -223.096649     0.106158    6.801046    8.041088    6.726424    358.5130
     59     -223.098511     0.106633    6.800546    8.043408    6.721515    358.3640
     60     -223.100159     0.081286    6.801111    8.038941    6.720199    358.2249
  -------------------------------------------------------------------------------------

  Converged after 60 steps!  Fmax = 0.081286 eV/A
