    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000     211.6     -220.2640        0.6565     -219.6075      331.56
     100      0.2000     463.0     -220.8621        1.4363     -219.4257      331.56
     200      0.4000     349.7     -220.7231        1.0849     -219.6381      331.56
     300      0.6000     277.4     -220.8570        0.8607     -219.9963      331.56
     400      0.8000     252.3     -220.5008        0.7827     -219.7181      331.56
     500      1.0000     418.6     -220.6711        1.2986     -219.3725      331.56
     600      1.2000     447.0     -220.9424        1.3866     -219.5558      331.56
     700      1.4000     257.4     -220.7307        0.7986     -219.9320      331.56
     800      1.6000     361.4     -220.9004        1.1210     -219.7793      331.56
     900      1.8000     267.2     -220.8606        0.8289     -220.0317      331.56
    1000      2.0000     211.2     -220.6890        0.6551     -220.0339      331.56
    1100      2.2000     404.3     -221.0137        1.2541     -219.7595      331.56
    1200      2.4000     240.7     -220.6740        0.7468     -219.9272      331.56
    1300      2.6000     232.3     -220.7909        0.7207     -220.0701      331.56
    1400      2.8000     305.1     -220.6219        0.9465     -219.6754      331.56
    1500      3.0000     263.2     -220.8041        0.8167     -219.9875      331.56
    1600      3.2000     281.9     -220.7412        0.8745     -219.8666      331.56
    1700      3.4000     240.4     -220.5597        0.7457     -219.8140      331.56
    1800      3.6000     256.0     -220.5591        0.7942     -219.7649      331.56
    1900      3.8000     225.0     -220.8713        0.6981     -220.1732      331.56
    2000      4.0000     197.0     -220.8937        0.6112     -220.2825      331.56
