
  Composition: In16O24 (40 atoms)
  Initial cell: a=8.7529  b=8.7529  c=8.7529
  Volume: 670.59 A^3  Density: 5.50 g/cm3
  Optimizer: LBFGS  fmax=0.05  max_steps=500
  Cell filter: cubic
  [cell] Cubic: isotropic volume only, shape fixed

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
  -------------------------------------------------------------------------------------
      1     -140.122143    63.395587   10.503494   10.503494   10.503494   1158.7810
      2     -162.843647    27.877788    9.164710    9.164710    9.164710    769.7615
      3     -137.211059   204.942295    7.772712    7.772712    7.772712    469.5888
      4     -167.372945    13.383694    8.931759    8.931759    8.931759    712.5428
      5     -170.191963     6.021801    8.830437    8.830437    8.830437    688.5676
      6     -175.608404    19.934693    8.613892    8.613892    8.613892    639.1433
      7     -178.044605    34.364722    8.549996    8.549996    8.549996    625.0255
      8     -182.247100    20.892772    8.652410    8.652410    8.652410    647.7557
      9     -185.445174     8.922624    8.781608    8.781608    8.781608    677.2080
     10     -187.496094     6.598965    8.951681    8.951681    8.951681    717.3213
     11     -188.540273    13.480844    9.006450    9.006450    9.006450    730.5684
     12     -190.102331    11.383017    9.018444    9.018444    9.018444    733.4911
     13     -191.294834     7.228970    8.958746    8.958746    8.958746    719.0212
     14     -192.789394     4.081824    8.852254    8.852254    8.852254    693.6840
     15     -193.799806     6.555790    8.810808    8.810808    8.810808    683.9861
     16     -195.051709     5.420954    8.801471    8.801471    8.801471    681.8139
     17     -195.807220     2.009984    8.829641    8.829641    8.829641    688.3815
     18     -196.864241     3.998231    8.869307    8.869307    8.869307    697.7005
     19     -197.823738     6.030929    8.890234    8.890234    8.890234    702.6509
     20     -198.818522     5.230759    8.880686    8.880686    8.880686    700.3893
     21     -199.674255     2.100072    8.844984    8.844984    8.844984    691.9762
     22     -200.551513     2.381815    8.794366    8.794366    8.794366    680.1640
     23     -201.436033     3.416414    8.767885    8.767885    8.767885    674.0382
     24     -202.362430     3.515705    8.765030    8.765030    8.765030    673.3800
     25     -203.468695     2.883143    8.785561    8.785561    8.785561    678.1229
     26     -204.119422     2.158668    8.800263    8.800263    8.800263    681.5330
     27     -204.660163     3.948865    8.818709    8.818709    8.818709    685.8278
     28     -205.119342     1.277062    8.807473    8.807473    8.807473    683.2096
     29     -205.432986     1.124228    8.806829    8.806829    8.806829    683.0597
     30     -205.999955     2.519690    8.797422    8.797422    8.797422    680.8734
     31     -206.298958     1.527560    8.809216    8.809216    8.809216    683.6153
     32     -206.766340     1.371504    8.831954    8.831954    8.831954    688.9225
     33     -207.070974     2.472578    8.846297    8.846297    8.846297    692.2845
     34     -207.375803     2.487418    8.850513    8.850513    8.850513    693.2748
     35     -207.603054     1.261489    8.842255    8.842255    8.842255    691.3358
     36     -207.781167     1.201644    8.828970    8.828970    8.828970    688.2246
     37     -207.978797     2.523693    8.818497    8.818497    8.818497    685.7782
     38     -208.282666     2.909258    8.810935    8.810935    8.810935    684.0157
     39     -208.657061     2.250200    8.801619    8.801619    8.801619    681.8482
     40     -209.048732     2.597583    8.799849    8.799849    8.799849    681.4369
     41     -209.678387     4.162614    8.801528    8.801528    8.801528    681.8270
     42     -210.214110     4.227042    8.797679    8.797679    8.797679    680.9329
     43     -211.156635     1.472592    8.754737    8.754737    8.754737    671.0106
     44     -211.518349     1.578907    8.746179    8.746179    8.746179    669.0446
     45     -212.101691     1.224047    8.730261    8.730261    8.730261    665.3982
     46     -212.330657     0.877336    8.729937    8.729937    8.729937    665.3243
     47     -212.582356     1.002988    8.721731    8.721731    8.721731    663.4497
     48     -212.727697     1.034138    8.720174    8.720174    8.720174    663.0945
     49     -212.921921     0.953639    8.714478    8.714478    8.714478    661.7960
     50     -213.029182     0.600942    8.707465    8.707465    8.707465    660.1996
     51     -213.120001     0.524235    8.698613    8.698613    8.698613    658.1881
     52     -213.219662     1.065749    8.691869    8.691869    8.691869    656.6585
     53     -213.327292     1.261654    8.685635    8.685635    8.685635    655.2466
     54     -213.438374     0.697415    8.685452    8.685452    8.685452    655.2051
     55     -213.551744     0.670594    8.683561    8.683561    8.683561    654.7772
     56     -213.664180     1.173606    8.683333    8.683333    8.683333    654.7256
     57     -213.763605     1.069588    8.676220    8.676220    8.676220    653.1181
     58     -213.849953     0.608551    8.670699    8.670699    8.670699    651.8719
     59     -213.922957     0.505106    8.660578    8.660578    8.660578    649.5918
     60     -213.991425     0.971405    8.656547    8.656547    8.656547    648.6853
