    Step     Time_ps       T_K       Epot_eV       Ekin_eV       Etot_eV      Vol_A3
------------------------------------------------------------------------------------
       0      0.0000    3502.6     -215.4655       18.1096     -197.3558      652.23
     100      0.2000    4296.6     -192.4381       22.2149     -170.2231      652.23
     200      0.4000    3654.6     -192.7927       18.8955     -173.8972      652.23
     300      0.6000    4134.6     -190.2659       21.3777     -168.8882      652.23
     400      0.8000    4319.5     -192.9076       22.3336     -170.5740      652.23
     500      1.0000    4697.8     -193.5280       24.2894     -169.2386      652.23
     600      1.2000    3260.7     -187.8303       16.8593     -170.9710      652.23
     700      1.4000    3154.7     -183.4041       16.3109     -167.0932      652.23
     800      1.6000    3501.4     -187.4749       18.1039     -169.3711      652.23
     900      1.8000    3530.0     -185.6533       18.2515     -167.4018      652.23
    1000      2.0000    2896.9     -190.3014       14.9780     -175.3234      652.23
